date,agegroup,are_covid19_incidence
2023-W30,60+,4
2023-W31,00+,11
2023-W31,00-04,1
2023-W31,05-14,0
2023-W31,15-34,19
2023-W31,35-59,14
2023-W31,60+,5
2023-W32,00+,17
2023-W32,00-04,7
2023-W32,05-14,2
2023-W32,15-34,19
2023-W32,35-59,24
2023-W32,60+,15
2023-W33,00+,30
2023-W33,00-04,9
2023-W33,05-14,3
2023-W33,15-34,49
2023-W33,35-59,35
2023-W33,60+,20
2023-W34,00+,41
2023-W34,00-04,15
2023-W34,05-14,6
2023-W34,15-34,58
2023-W34,35-59,59
2023-W34,60+,23
2023-W35,00+,32
2023-W35,00-04,1
2023-W35,05-14,5
2023-W35,15-34,43
2023-W35,35-59,46
2023-W35,60+,20
2023-W36,00+,59
2023-W36,00-04,15
2023-W36,05-14,8
2023-W36,15-34,82
2023-W36,35-59,87
2023-W36,60+,31
2023-W37,00+,65
2023-W37,00-04,3
2023-W37,05-14,13
2023-W37,15-34,96
2023-W37,35-59,97
2023-W37,60+,31
2023-W38,00+,67
2023-W38,00-04,16
2023-W38,05-14,14
2023-W38,15-34,91
2023-W38,35-59,103
2023-W38,60+,32
2023-W39,00+,82
2023-W39,00-04,16
2023-W39,05-14,11
2023-W39,15-34,117
2023-W39,35-59,105
2023-W39,60+,61
2023-W40,00+,81
2023-W40,00-04,8
2023-W40,05-14,9
2023-W40,15-34,99
2023-W40,35-59,130
2023-W40,60+,45
2023-W41,00+,113
2023-W41,00-04,19
2023-W41,05-14,12
2023-W41,15-34,135
2023-W41,35-59,176
2023-W41,60+,68
2023-W42,00+,112
2023-W42,00-04,13
2023-W42,05-14,19
2023-W42,15-34,121
2023-W42,35-59,173
2023-W42,60+,78
2023-W43,00+,145
2023-W43,00-04,26
2023-W43,05-14,10
2023-W43,15-34,155
2023-W43,35-59,226
2023-W43,60+,107
2023-W44,00+,169
2023-W44,00-04,26
2023-W44,05-14,21
2023-W44,15-34,186
2023-W44,35-59,272
2023-W44,60+,106
2023-W45,00+,203
2023-W45,00-04,24
2023-W45,05-14,28
2023-W45,15-34,232
2023-W45,35-59,313
2023-W45,60+,137
2023-W46,00+,239
2023-W46,00-04,42
2023-W46,05-14,53
2023-W46,15-34,260
2023-W46,35-59,373
2023-W46,60+,158
2023-W47,00+,260
2023-W47,00-04,49
2023-W47,05-14,74
2023-W47,15-34,314
2023-W47,35-59,412
2023-W47,60+,136
2023-W48,00+,272
2023-W48,00-04,60
2023-W48,05-14,72
2023-W48,15-34,323
2023-W48,35-59,424
2023-W48,60+,154
2023-W49,00+,346
2023-W49,00-04,93
2023-W49,05-14,73
2023-W49,15-34,406
2023-W49,35-59,555
2023-W49,60+,184
2023-W50,00+,422
2023-W50,00-04,67
2023-W50,05-14,105
2023-W50,15-34,456
2023-W50,35-59,670
2023-W50,60+,263
2023-W51,00+,310
2023-W51,00-04,91
2023-W51,05-14,69
2023-W51,15-34,361
2023-W51,35-59,492
2023-W51,60+,171
2023-W52,00+,102
2023-W52,00-04,25
2023-W52,05-14,6
2023-W52,15-34,105
2023-W52,35-59,166
2023-W52,60+,67
2024-W01,00+,170
2024-W01,00-04,10
2024-W01,05-14,9
2024-W01,15-34,197
2024-W01,35-59,286
2024-W01,60+,92
2024-W02,00+,93
2024-W02,00-04,15
2024-W02,05-14,14
2024-W02,15-34,111
2024-W02,35-59,149
2024-W02,60+,54
2024-W03,00+,68
2024-W03,00-04,25
2024-W03,05-14,9
2024-W03,15-34,86
2024-W03,35-59,105
2024-W03,60+,36
2024-W04,00+,66
2024-W04,00-04,8
2024-W04,05-14,26
2024-W04,15-34,85
2024-W04,35-59,98
2024-W04,60+,38
2024-W05,00+,47
2024-W05,00-04,10
2024-W05,05-14,6
2024-W05,15-34,58
2024-W05,35-59,70
2024-W05,60+,31
2024-W06,00+,39
2024-W06,00-04,9
2024-W06,05-14,11
2024-W06,15-34,46
2024-W06,35-59,55
2024-W06,60+,29
2024-W07,00+,29
2024-W07,00-04,3
2024-W07,05-14,2
2024-W07,15-34,41
2024-W07,35-59,41
2024-W07,60+,20
2024-W08,00+,22
2024-W08,00-04,5
2024-W08,05-14,7
2024-W08,15-34,31
2024-W08,35-59,27
2024-W08,60+,18
2024-W09,00+,14
2024-W09,00-04,2
2024-W09,05-14,3
2024-W09,15-34,20
2024-W09,35-59,20
2024-W09,60+,6
2024-W10,00+,13
2024-W10,00-04,4
2024-W10,05-14,0
2024-W10,15-34,21
2024-W10,35-59,19
2024-W10,60+,6
2024-W11,00+,11
2024-W11,00-04,1
2024-W11,05-14,1
2024-W11,15-34,19
2024-W11,35-59,16
2024-W11,60+,5
2024-W12,00+,8
2024-W12,00-04,0
2024-W12,05-14,3
2024-W12,15-34,21
2024-W12,35-59,7
2024-W12,60+,2
2024-W13,00+,8
2024-W13,00-04,0
2024-W13,05-14,0
2024-W13,15-34,12
2024-W13,35-59,14
2024-W13,60+,2
2024-W14,00+,8
2024-W14,00-04,2
2024-W14,05-14,0
2024-W14,15-34,14
2024-W14,35-59,12
2024-W14,60+,4
2024-W15,00+,9
2024-W15,00-04,0
2024-W15,05-14,1
2024-W15,15-34,12
2024-W15,35-59,15
2024-W15,60+,3
2024-W16,00+,8
2024-W16,00-04,2
2024-W16,05-14,0
2024-W16,15-34,18
2024-W16,35-59,9
2024-W16,60+,3
2024-W17,00+,8
2024-W17,00-04,0
2024-W17,05-14,0
2024-W17,15-34,8
2024-W17,35-59,15
2024-W17,60+,3
2024-W18,00+,6
2024-W18,00-04,2
2024-W18,05-14,1
2024-W18,15-34,7
2024-W18,35-59,11
2024-W18,60+,2
2024-W19,00+,5
2024-W19,00-04,0
2024-W19,05-14,0
2024-W19,15-34,3
2024-W19,35-59,9
2024-W19,60+,4
